id,code,nom,type,libelle_type,marque,modele,secteur_id,secteur_nom,region,latitude,longitude,date_install,statut
55,EQ-08-0055,SWITCH_OUJDA_055,SWITCH,Switch distribution,Huawei,ATN910C,8,Oujda,Oriental,34.598948,-1.778361,2024-09-06,ACTIF
56,EQ-04-0056,OLT_FÈS_056,OLT,Optical Line Terminal,Huawei,NE40E-X8,4,Fès,Fès-Meknès,33.940741,-4.843677,2021-08-16,ACTIF
57,EQ-09-0057,OLT_KENITRA_057,OLT,Optical Line Terminal,Huawei,BBU5900,9,Kenitra,Rabat-Salé-Kénitra,34.341864,-6.425398,2024-02-07,ACTIF
58,EQ-05-0058,BTS_4G_TANGER_058,BTS_4G,Station de base 4G LTE,Huawei,AAU5614,5,Tanger,Tanger-Tétouan-Al Hoceima,35.795802,-5.616184,2025-09-29,ACTIF
59,EQ-06-0059,SWITCH_AGADIR_059,SWITCH,Switch distribution,Huawei,NE40E-X8,6,Agadir,Souss-Massa,30.399149,-9.379976,2025-04-24,MAINTENANCE
60,EQ-04-0060,ROUTEUR_FÈS_060,ROUTEUR,Routeur backbone,Huawei,NE40E-X8,4,Fès,Fès-Meknès,33.812869,-5.036603,2023-01-17,ACTIF
61,EQ-02-0061,SWITCH_RABAT-SALÉ_061,SWITCH,Switch distribution,Huawei,NE40E-X8,2,Rabat-Salé,Rabat-Salé-Kénitra,34.076375,-6.768002,2025-04-05,ACTIF
62,EQ-07-0062,SWITCH_MEKNÈS_062,SWITCH,Switch distribution,Huawei,ATN910C,7,Meknès,Fès-Meknès,33.849536,-5.646747,2025-03-31,ACTIF
63,EQ-07-0063,BTS_4G_MEKNÈS_063,BTS_4G,Station de base 4G LTE,Huawei,AAU5614,7,Meknès,Fès-Meknès,33.945534,-5.644362,2022-11-20,ACTIF
64,EQ-04-0064,OLT_FÈS_064,OLT,Optical Line Terminal,Huawei,NE40E-X8,4,Fès,Fès-Meknès,34.14682,-4.959754,2024-02-26,ACTIF
65,EQ-04-0065,ANTENNE_FÈS_065,ANTENNE,Antenne sectorielle,Huawei,RRU3908,4,Fès,Fès-Meknès,34.150413,-4.800668,2021-10-31,ACTIF
66,EQ-05-0066,SWITCH_TANGER_066,SWITCH,Switch distribution,Huawei,NE40E-X8,5,Tanger,Tanger-Tétouan-Al Hoceima,35.576341,-5.630397,2024-08-22,ACTIF
67,EQ-04-0067,BTS_4G_FÈS_067,BTS_4G,Station de base 4G LTE,Huawei,AAU5614,4,Fès,Fès-Meknès,33.803877,-5.122736,2023-04-18,ACTIF
68,EQ-10-0068,BTS_5G_TÉTOUAN_068,BTS_5G,Station de base 5G NR,Huawei,AAU5614,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.676854,-5.420662,2023-09-20,ACTIF
69,EQ-01-0069,BTS_3G_GRAND_CASABLANCA_069,BTS_3G,Station de base 3G,Huawei,BBU5900,1,Grand Casablanca,Casablanca-Settat,33.698515,-7.716448,2022-01-21,ACTIF
70,EQ-04-0070,BTS_3G_FÈS_070,BTS_3G,Station de base 3G,Huawei,BBU5900,4,Fès,Fès-Meknès,33.998488,-4.872027,2022-03-20,HORS_SERVICE
71,EQ-08-0071,OLT_OUJDA_071,OLT,Optical Line Terminal,Huawei,NE40E-X8,8,Oujda,Oriental,34.835605,-1.889836,2025-01-25,ACTIF
72,EQ-04-0072,ROUTEUR_FÈS_072,ROUTEUR,Routeur backbone,Huawei,NE40E-X8,4,Fès,Fès-Meknès,34.137836,-4.998205,2022-06-12,ACTIF
73,EQ-02-0073,ROUTEUR_RABAT-SALÉ_073,ROUTEUR,Routeur backbone,Huawei,NE40E-X8,2,Rabat-Salé,Rabat-Salé-Kénitra,33.901303,-6.915543,2022-12-06,ACTIF
74,EQ-04-0074,OLT_FÈS_074,OLT,Optical Line Terminal,Huawei,NE40E-X8,4,Fès,Fès-Meknès,34.105465,-4.914818,2025-08-07,ACTIF
75,EQ-09-0075,ANTENNE_KENITRA_075,ANTENNE,Antenne sectorielle,Huawei,AAU5614,9,Kenitra,Rabat-Salé-Kénitra,34.22306,-6.712257,2023-08-09,MAINTENANCE
76,EQ-10-0076,BTS_2G_TÉTOUAN_076,BTS_2G,Station de base 2G,Huawei,BBU5900,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.73919,-5.248763,2023-10-29,ACTIF
77,EQ-06-0077,ROUTEUR_AGADIR_077,ROUTEUR,Routeur backbone,Huawei,NE40E-X8,6,Agadir,Souss-Massa,30.541978,-9.438889,2023-08-11,ACTIF
78,EQ-05-0078,OLT_TANGER_078,OLT,Optical Line Terminal,Huawei,NE40E-X8,5,Tanger,Tanger-Tétouan-Al Hoceima,35.753032,-5.884064,2022-03-18,ACTIF
79,EQ-08-0079,BTS_4G_OUJDA_079,BTS_4G,Station de base 4G LTE,Huawei,AAU5614,8,Oujda,Oriental,34.903241,-1.896029,2023-10-02,ACTIF
80,EQ-07-0080,BTS_4G_MEKNÈS_080,BTS_4G,Station de base 4G LTE,Huawei,BBU5900,7,Meknès,Fès-Meknès,34.058748,-5.698065,2024-07-02,ACTIF
81,EQ-08-0081,SWITCH_OUJDA_081,SWITCH,Switch distribution,Huawei,NE40E-X8,8,Oujda,Oriental,34.613502,-1.740391,2024-05-26,ACTIF
82,EQ-02-0082,ANTENNE_RABAT-SALÉ_082,ANTENNE,Antenne sectorielle,Huawei,RRU3908,2,Rabat-Salé,Rabat-Salé-Kénitra,33.804406,-6.823844,2023-12-31,ACTIF
83,EQ-01-0083,BTS_2G_GRAND_CASABLANCA_083,BTS_2G,Station de base 2G,Huawei,RRU3908,1,Grand Casablanca,Casablanca-Settat,33.775628,-7.725223,2025-11-05,ACTIF
84,EQ-08-0084,BTS_3G_OUJDA_084,BTS_3G,Station de base 3G,Huawei,BBU5900,8,Oujda,Oriental,34.715515,-2.038443,2022-01-14,MAINTENANCE
85,EQ-03-0085,BTS_3G_MARRAKECH_085,BTS_3G,Station de base 3G,Huawei,AAU5614,3,Marrakech,Marrakech-Safi,31.754631,-8.132557,2024-03-19,ACTIF
86,EQ-05-0086,OLT_TANGER_086,OLT,Optical Line Terminal,Huawei,BBU5900,5,Tanger,Tanger-Tétouan-Al Hoceima,35.712948,-5.737147,2025-07-14,ACTIF
87,EQ-05-0087,BTS_3G_TANGER_087,BTS_3G,Station de base 3G,Huawei,BBU5900,5,Tanger,Tanger-Tétouan-Al Hoceima,35.892936,-5.804301,2025-09-23,ACTIF
88,EQ-06-0088,BTS_3G_AGADIR_088,BTS_3G,Station de base 3G,Huawei,BBU5900,6,Agadir,Souss-Massa,30.430485,-9.669617,2023-08-09,ACTIF
89,EQ-06-0089,ANTENNE_AGADIR_089,ANTENNE,Antenne sectorielle,Huawei,AAU5614,6,Agadir,Souss-Massa,30.521182,-9.62716,2021-11-05,ACTIF
90,EQ-09-0090,ANTENNE_KENITRA_090,ANTENNE,Antenne sectorielle,Huawei,AAU5614,9,Kenitra,Rabat-Salé-Kénitra,34.245177,-6.433473,2022-08-21,ACTIF
91,EQ-04-0091,BTS_3G_FÈS_091,BTS_3G,Station de base 3G,Huawei,BBU5900,4,Fès,Fès-Meknès,33.918518,-5.029961,2021-10-02,ACTIF
92,EQ-07-0092,SWITCH_MEKNÈS_092,SWITCH,Switch distribution,Huawei,NE40E-X8,7,Meknès,Fès-Meknès,33.681203,-5.396613,2024-12-09,ACTIF
93,EQ-05-0093,SWITCH_TANGER_093,SWITCH,Switch distribution,Huawei,ATN910C,5,Tanger,Tanger-Tétouan-Al Hoceima,35.660247,-5.790687,2024-05-30,ACTIF
94,EQ-04-0094,BTS_3G_FÈS_094,BTS_3G,Station de base 3G,Huawei,AAU5614,4,Fès,Fès-Meknès,33.901594,-5.049949,2022-11-05,ACTIF
95,EQ-08-0095,ANTENNE_OUJDA_095,ANTENNE,Antenne sectorielle,Huawei,AAU5614,8,Oujda,Oriental,34.818652,-2.094709,2024-09-19,ACTIF
96,EQ-05-0096,SWITCH_TANGER_096,SWITCH,Switch distribution,Huawei,NE40E-X8,5,Tanger,Tanger-Tétouan-Al Hoceima,35.747455,-5.820071,2023-07-29,ACTIF
97,EQ-08-0097,ROUTEUR_OUJDA_097,ROUTEUR,Routeur backbone,Huawei,NE40E-X8,8,Oujda,Oriental,34.599593,-2.032779,2021-11-30,ACTIF
98,EQ-09-0098,BTS_4G_KENITRA_098,BTS_4G,Station de base 4G LTE,Huawei,BBU5900,9,Kenitra,Rabat-Salé-Kénitra,34.122054,-6.47272,2024-05-29,HORS_SERVICE
99,EQ-04-0099,ROUTEUR_FÈS_099,ROUTEUR,Routeur backbone,Huawei,NE40E-X8,4,Fès,Fès-Meknès,33.895345,-5.152196,2025-11-18,ACTIF
100,EQ-01-0100,ROUTEUR_GRAND_CASABLANCA_100,ROUTEUR,Routeur backbone,Huawei,ATN910C,1,Grand Casablanca,Casablanca-Settat,33.662027,-7.758143,2021-09-27,ACTIF
101,EQ-01-0101,ROUTEUR_GRAND_CASABLANCA_101,ROUTEUR,Routeur backbone,Huawei,NE40E-X8,1,Grand Casablanca,Casablanca-Settat,33.559315,-7.616616,2024-12-04,ACTIF
102,EQ-08-0102,BTS_3G_OUJDA_102,BTS_3G,Station de base 3G,Huawei,AAU5614,8,Oujda,Oriental,34.831797,-1.956126,2025-07-18,ACTIF
103,EQ-10-0103,ROUTEUR_TÉTOUAN_103,ROUTEUR,Routeur backbone,Huawei,ATN910C,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.391645,-5.481827,2022-10-31,ACTIF
104,EQ-10-0104,BTS_5G_TÉTOUAN_104,BTS_5G,Station de base 5G NR,Huawei,BBU5900,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.702686,-5.422284,2023-06-24,MAINTENANCE
105,EQ-07-0105,ROUTEUR_MEKNÈS_105,ROUTEUR,Routeur backbone,Huawei,NE40E-X8,7,Meknès,Fès-Meknès,33.924414,-5.752794,2021-10-23,HORS_SERVICE
106,EQ-04-0106,BTS_5G_FÈS_106,BTS_5G,Station de base 5G NR,Huawei,AAU5614,4,Fès,Fès-Meknès,33.912085,-5.196454,2024-08-12,ACTIF
107,EQ-03-0107,BTS_2G_MARRAKECH_107,BTS_2G,Station de base 2G,Huawei,BBU5900,3,Marrakech,Marrakech-Safi,31.588292,-7.895798,2023-04-29,ACTIF
108,EQ-05-0108,ROUTEUR_TANGER_108,ROUTEUR,Routeur backbone,Huawei,NE40E-X8,5,Tanger,Tanger-Tétouan-Al Hoceima,35.850936,-5.854707,2022-02-08,MAINTENANCE
109,EQ-10-0109,BTS_5G_TÉTOUAN_109,BTS_5G,Station de base 5G NR,Huawei,AAU5614,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.544779,-5.348327,2022-04-30,MAINTENANCE
110,EQ-03-0110,BTS_3G_MARRAKECH_110,BTS_3G,Station de base 3G,Huawei,BBU5900,3,Marrakech,Marrakech-Safi,31.431139,-7.849285,2022-08-16,ACTIF
111,EQ-08-0111,ROUTEUR_OUJDA_111,ROUTEUR,Routeur backbone,Huawei,ATN910C,8,Oujda,Oriental,34.77667,-1.711996,2023-02-26,ACTIF
112,EQ-10-0112,BTS_2G_TÉTOUAN_112,BTS_2G,Station de base 2G,Huawei,BBU5900,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.753916,-5.262754,2022-07-29,ACTIF
113,EQ-04-0113,BTS_2G_FÈS_113,BTS_2G,Station de base 2G,Huawei,RRU3908,4,Fès,Fès-Meknès,34.243133,-4.930196,2024-06-13,MAINTENANCE
114,EQ-03-0114,ANTENNE_MARRAKECH_114,ANTENNE,Antenne sectorielle,Huawei,RRU3908,3,Marrakech,Marrakech-Safi,31.638042,-8.007123,2024-05-26,HORS_SERVICE
115,EQ-07-0115,ANTENNE_MEKNÈS_115,ANTENNE,Antenne sectorielle,Huawei,AAU5614,7,Meknès,Fès-Meknès,34.104786,-5.568209,2023-09-02,ACTIF
116,EQ-02-0116,BTS_4G_RABAT-SALÉ_116,BTS_4G,Station de base 4G LTE,Huawei,BBU5900,2,Rabat-Salé,Rabat-Salé-Kénitra,33.944235,-6.75436,2024-05-05,MAINTENANCE
117,EQ-09-0117,BTS_2G_KENITRA_117,BTS_2G,Station de base 2G,Huawei,RRU3908,9,Kenitra,Rabat-Salé-Kénitra,34.240651,-6.663751,2024-02-23,HORS_SERVICE
118,EQ-07-0118,BTS_2G_MEKNÈS_118,BTS_2G,Station de base 2G,Huawei,RRU3908,7,Meknès,Fès-Meknès,33.964518,-5.535514,2023-08-23,ACTIF
119,EQ-06-0119,ANTENNE_AGADIR_119,ANTENNE,Antenne sectorielle,Huawei,AAU5614,6,Agadir,Souss-Massa,30.48429,-9.480987,2024-10-26,ACTIF
120,EQ-05-0120,ANTENNE_TANGER_120,ANTENNE,Antenne sectorielle,Huawei,RRU3908,5,Tanger,Tanger-Tétouan-Al Hoceima,35.931053,-5.840887,2025-10-18,ACTIF
